Time,Signal
0.5,-1.200915584
1,-1.200915584
1.5,-1.200915584
2,-1.200915584
2.5,-1.200915584
3,-1.200915584
3.5,-1.200915584
4,-1.200915584
4.5,-1.200915584
5,-1.200915584
5.5,-1.200915584
6,-1.200915584
6.5,-1.200915584
7,-1.200915584
7.5,-1.200915584
8,-1.200915584
8.5,-1.200915584
9,-1.200915584
9.5,-1.200915584
10,-1.200915584
10.5,-1.200915584
11,-1.200915584
11.5,-1.200915584
12,-1.200915584
12.5,-1.671862872
13,-1.200915584
13.5,-1.200915584
14,-1.200915584
14.5,-1.200915584
15,-1.200915584
15.5,-1.200915584
16,-1.200915584
16.5,-1.200915584
17,-1.200915584
17.5,-1.200915584
18,-1.200915584
18.5,-1.200915584
19,-1.200915584
19.5,-1.200915584
20,-1.200915584
20.5,-1.200915584
21,-1.200915584
21.5,-1.200915584
22,-1.200915584
22.5,-1.200915584
23,-1.200915584
23.5,-1.200915584
24,-1.200915584
24.5,-1.200915584
25,-1.200915584
25.5,-1.200915584
26,-1.200915584
26.5,-1.200915584
27,-1.200915584
27.5,-1.200915584
28,-1.200915584
28.5,-1.200915584
29,-1.200915584
29.5,-1.200915584
30,-1.200915584
30.5,-1.200915584
31,-0.259021008
31.5,7.747082887
32,7.747082887
32.5,7.747082887
33,7.276135599
33.5,7.276135599
34,7.276135599
34.5,7.276135599
35,4.450451871
35.5,-0.259021008
36,-1.200915584
36.5,-1.200915584
37,-1.200915584
37.5,-1.200915584
38,-1.200915584
38.5,-1.200915584
39,-1.200915584
39.5,-1.200915584
40,-1.200915584
40.5,-1.200915584
41,-1.200915584
41.5,-1.200915584
42,-1.200915584
42.5,-1.200915584
43,-1.200915584
43.5,-1.200915584
44,-1.200915584
44.5,-1.200915584
45,-1.200915584
45.5,-1.200915584
46,-1.200915584
46.5,-1.200915584
47,-1.200915584
47.5,-1.200915584
48,-1.200915584
48.5,-1.200915584
49,-1.200915584
49.5,-1.200915584
50,-1.200915584
50.5,-1.200915584
51,-1.200915584
51.5,-1.200915584
52,-1.200915584
52.5,-1.200915584
53,-1.200915584
53.5,-1.200915584
54,-0.729968296
54.5,4.921399159
55,6.334241023
55.5,6.334241023
56,6.805188311
56.5,6.805188311
57,5.863293735
57.5,6.334241023
58,6.334241023
58.5,-0.259021008
59,-1.200915584
59.5,-1.200915584
60,-1.200915584
60.5,-1.200915584
61,-1.200915584
61.5,-1.200915584
62,-1.200915584
62.5,-1.200915584
63,-1.200915584
63.5,-1.200915584
64,-1.200915584
64.5,-1.200915584
65,-1.200915584
65.5,-1.200915584
66,-1.200915584
66.5,-1.200915584
67,-1.200915584
67.5,-1.200915584
68,-1.200915584
68.5,-1.200915584
69,-1.200915584
69.5,-1.200915584
70,-1.200915584
70.5,-1.200915584
71,-1.200915584
71.5,-1.200915584
72,-1.200915584
72.5,-1.200915584
73,-1.200915584
73.5,-1.200915584
74,-1.200915584
74.5,-1.200915584
