Time,Signal
0.5,1.884244203
1,2.261093661
1.5,1.884244203
2,1.884244203
2.5,1.884244203
3,1.884244203
3.5,1.884244203
4,1.884244203
4.5,1.884244203
5,1.884244203
5.5,1.507394745
6,1.884244203
6.5,1.884244203
7,2.261093661
7.5,1.884244203
8,1.884244203
8.5,1.884244203
9,1.884244203
9.5,1.884244203
10,1.884244203
10.5,1.884244203
11,1.884244203
11.5,1.884244203
12,1.884244203
12.5,1.884244203
13,1.884244203
13.5,1.884244203
14,1.884244203
14.5,1.884244203
15,1.884244203
15.5,1.884244203
16,1.884244203
16.5,1.884244203
17,1.884244203
17.5,1.884244203
18,1.884244203
18.5,1.884244203
19,1.884244203
19.5,1.884244203
20,2.261093661
20.5,1.884244203
21,1.884244203
21.5,1.884244203
22,1.884244203
22.5,1.884244203
23,1.884244203
23.5,1.884244203
24,1.884244203
24.5,1.884244203
25,1.884244203
25.5,1.884244203
26,1.884244203
26.5,1.884244203
27,1.884244203
27.5,1.884244203
28,1.884244203
28.5,1.884244203
29,1.884244203
29.5,1.507394745
30,1.884244203
30.5,1.884244203
31,1.884244203
31.5,1.884244203
32,1.884244203
32.5,1.884244203
33,1.884244203
33.5,1.884244203
34,1.884244203
34.5,1.884244203
35,1.884244203
35.5,1.884244203
36,1.884244203
36.5,1.884244203
37,1.884244203
37.5,1.507394745
38,1.884244203
38.5,1.507394745
39,1.884244203
39.5,1.884244203
40,1.884244203
40.5,1.884244203
41,1.884244203
41.5,1.884244203
42,1.884244203
42.5,1.507394745
43,1.884244203
43.5,1.884244203
44,1.884244203
44.5,1.884244203
45,1.884244203
45.5,1.884244203
46,1.884244203
46.5,1.884244203
47,1.884244203
47.5,1.884244203
48,1.884244203
48.5,1.884244203
49,1.884244203
49.5,1.884244203
50,1.884244203
50.5,1.884244203
51,1.884244203
51.5,1.884244203
52,1.884244203
52.5,1.884244203
53,1.884244203
53.5,1.884244203
54,1.884244203
54.5,1.884244203
55,1.884244203
55.5,1.507394745
56,1.884244203
56.5,1.884244203
57,1.884244203
57.5,1.884244203
58,1.884244203
58.5,1.884244203
59,1.884244203
59.5,1.884244203
60,1.884244203
60.5,1.884244203
61,1.884244203
61.5,1.884244203
62,1.884244203
62.5,1.884244203
63,1.884244203
63.5,2.261093661
64,2.261093661
64.5,2.261093661
65,2.637943119
65.5,2.637943119
66,3.014792577
66.5,3.014792577
67,3.014792577
67.5,3.014792577
68,3.014792577
68.5,3.014792577
69,2.637943119
69.5,3.014792577
70,2.637943119
70.5,2.637943119
71,2.637943119
71.5,2.637943119
72,2.637943119
72.5,2.637943119
73,2.637943119
73.5,2.637943119
74,2.637943119
74.5,2.637943119
75,2.637943119
75.5,2.637943119
76,2.637943119
76.5,2.637943119
77,2.637943119
77.5,2.637943119
78,2.637943119
78.5,2.637943119
79,2.637943119
79.5,2.637943119
80,2.637943119
80.5,2.637943119
81,2.637943119
81.5,2.637943119
82,2.637943119
82.5,2.637943119
83,2.637943119
83.5,2.637943119
84,2.637943119
84.5,2.261093661
85,2.637943119
85.5,2.637943119
86,2.637943119
86.5,2.637943119
87,2.637943119
87.5,2.637943119
88,2.637943119
88.5,2.637943119
89,3.014792577
89.5,2.637943119
90,3.014792577
90.5,3.014792577
91,3.014792577
91.5,3.014792577
92,2.637943119
92.5,2.637943119
93,2.637943119
93.5,2.637943119
94,3.014792577
94.5,2.637943119
95,2.637943119
95.5,2.637943119
96,3.014792577
96.5,3.014792577
97,2.637943119
97.5,2.637943119
98,3.014792577
98.5,2.637943119
99,2.637943119
99.5,3.014792577
100,3.014792577
100.5,3.014792577
101,3.014792577
101.5,3.768491492
102,4.522190408
102.5,6.406437698
103,8.667534445
103.5,10.55178173
104,10.55178173
104.5,9.421233361
105,8.667534445
105.5,7.913835529
106,6.783287156
106.5,6.783287156
107,6.783287156
107.5,6.406437698
108,6.02958824
108.5,6.02958824
109,5.652738782
109.5,5.275889324
110,5.275889324
110.5,5.275889324
111,5.652738782
111.5,5.275889324
112,6.02958824
112.5,6.406437698
113,6.783287156
113.5,6.783287156
114,6.02958824
114.5,5.652738782
115,4.899039866
115.5,4.522190408
116,3.768491492
116.5,3.768491492
117,3.768491492
117.5,3.391642035
118,3.391642035
118.5,3.014792577
119,3.014792577
119.5,3.014792577
120,3.391642035
120.5,3.391642035
121,3.014792577
121.5,3.391642035
122,3.391642035
122.5,3.768491492
123,3.768491492
123.5,3.768491492
124,3.768491492
124.5,3.768491492
125,3.768491492
125.5,3.768491492
126,3.768491492
126.5,3.391642035
127,3.768491492
127.5,3.768491492
128,3.768491492
128.5,3.391642035
129,3.391642035
129.5,3.391642035
130,3.768491492
130.5,3.391642035
131,3.391642035
131.5,3.391642035
132,3.391642035
132.5,3.391642035
133,3.391642035
133.5,3.768491492
134,3.768491492
134.5,3.768491492
135,3.768491492
135.5,3.768491492
136,3.768491492
136.5,3.391642035
137,3.768491492
137.5,3.768491492
138,3.768491492
138.5,3.768491492
139,3.768491492
139.5,3.768491492
140,3.768491492
140.5,3.391642035
141,3.391642035
141.5,3.768491492
142,3.768491492
142.5,3.768491492
143,3.768491492
143.5,3.768491492
144,3.768491492
144.5,3.768491492
145,4.14534095
145.5,4.14534095
146,3.768491492
146.5,4.14534095
147,4.14534095
147.5,4.14534095
148,3.768491492
148.5,3.768491492
149,3.768491492
149.5,3.768491492
150,3.768491492
150.5,3.768491492
151,3.768491492
151.5,3.768491492
152,3.768491492
152.5,3.768491492
153,3.768491492
153.5,3.768491492
154,3.768491492
154.5,3.768491492
155,3.768491492
155.5,3.768491492
156,4.14534095
156.5,3.768491492
157,3.768491492
157.5,3.768491492
158,4.14534095
158.5,3.768491492
159,3.768491492
159.5,3.768491492
160,3.768491492
160.5,3.768491492
161,3.768491492
161.5,3.768491492
162,3.768491492
162.5,3.768491492
163,3.768491492
163.5,3.768491492
164,3.768491492
164.5,3.768491492
165,3.768491492
165.5,3.768491492
166,3.768491492
166.5,3.768491492
167,3.768491492
167.5,3.768491492
168,3.768491492
168.5,3.391642035
169,3.391642035
169.5,3.768491492
170,3.768491492
170.5,3.768491492
171,4.14534095
171.5,3.768491492
172,3.768491492
172.5,3.768491492
173,3.768491492
173.5,3.768491492
174,3.768491492
174.5,3.768491492
175,3.768491492
175.5,3.768491492
176,3.768491492
176.5,3.768491492
177,3.391642035
177.5,3.768491492
178,3.391642035
178.5,3.768491492
179,3.768491492
179.5,3.391642035
180,3.768491492
180.5,3.391642035
181,3.391642035
181.5,3.768491492
182,3.391642035
182.5,3.391642035
183,3.391642035
183.5,3.391642035
184,3.391642035
184.5,3.391642035
185,3.768491492
185.5,3.391642035
186,3.391642035
186.5,3.768491492
187,3.768491492
187.5,3.768491492
188,3.768491492
188.5,4.14534095
189,4.899039866
189.5,6.02958824
190,7.913835529
190.5,11.30548065
191,16.95825338
191.5,25.62579091
192,38.81549108
192.5,58.78851234
193,83.28372711
193.5,116.4464794
194,154.5085833
194.5,193.3240774
195,232.5164211
195.5,264.9254744
196,289.0438398
196.5,300.3493235
197,298.4650762
197.5,285.6521946
198,262.2875282
198.5,232.8932705
199,203.4990128
199.5,172.5973573
200,144.3333393
200.5,120.9686729
201,100.2419527
201.5,84.41427548
202,70.09399608
202.5,59.54221126
203,49.74412535
203.5,41.83028674
204,35.42384595
204.5,29.77110409
205,25.62579091
205.5,21.85729634
206,18.46565121
206.5,15.45085555
207,13.1897588
207.5,11.68233011
208,9.798082819
208.5,8.667534445
209,7.536986071
209.5,6.783287156
210,6.02958824
210.5,5.652738782
211,5.275889324
211.5,4.899039866
212,4.522190408
212.5,4.522190408
213,4.14534095
213.5,4.14534095
214,4.14534095
214.5,4.14534095
215,3.768491492
215.5,4.14534095
216,4.14534095
216.5,3.768491492
217,3.768491492
217.5,4.14534095
218,3.768491492
218.5,4.14534095
219,4.14534095
219.5,3.768491492
220,4.14534095
220.5,3.768491492
221,3.768491492
221.5,3.768491492
222,3.768491492
222.5,3.768491492
223,3.768491492
223.5,3.768491492
224,3.768491492
224.5,3.768491492
225,3.391642035
225.5,3.391642035
226,3.391642035
226.5,3.391642035
227,3.391642035
227.5,3.391642035
228,3.768491492
228.5,3.391642035
229,3.391642035
229.5,3.391642035
230,3.391642035
230.5,3.391642035
231,3.391642035
231.5,3.391642035
232,3.391642035
232.5,3.391642035
233,3.391642035
233.5,3.391642035
234,3.391642035
234.5,3.391642035
235,3.391642035
235.5,3.391642035
236,3.391642035
236.5,3.768491492
237,3.768491492
237.5,3.768491492
238,3.768491492
238.5,3.768491492
239,3.768491492
239.5,3.768491492
240,3.391642035
240.5,3.768491492
241,3.768491492
241.5,3.768491492
242,3.768491492
242.5,3.768491492
243,3.768491492
243.5,3.768491492
244,3.768491492
244.5,3.391642035
245,3.768491492
245.5,3.768491492
246,3.768491492
246.5,3.768491492
247,3.768491492
247.5,3.768491492
248,3.768491492
248.5,3.768491492
249,3.768491492
249.5,3.768491492
250,3.391642035
250.5,3.391642035
251,3.391642035
251.5,3.391642035
252,3.391642035
252.5,3.391642035
253,3.391642035
253.5,3.391642035
254,3.014792577
254.5,3.014792577
255,3.391642035
255.5,3.391642035
256,3.391642035
256.5,3.014792577
257,3.014792577
257.5,3.014792577
258,3.014792577
258.5,3.014792577
259,3.014792577
259.5,3.014792577
260,3.014792577
260.5,3.391642035
261,3.014792577
261.5,3.391642035
262,3.014792577
262.5,3.391642035
263,3.391642035
263.5,3.014792577
264,3.391642035
264.5,3.391642035
265,3.391642035
265.5,3.391642035
266,3.014792577
266.5,3.391642035
267,3.391642035
267.5,3.391642035
268,3.391642035
268.5,3.391642035
269,3.391642035
269.5,3.391642035
270,3.391642035
270.5,3.391642035
271,3.391642035
271.5,3.391642035
272,3.014792577
272.5,3.014792577
273,3.014792577
273.5,2.637943119
274,3.014792577
274.5,3.014792577
275,2.637943119
275.5,3.014792577
276,2.637943119
276.5,2.637943119
277,3.014792577
277.5,2.637943119
278,3.014792577
278.5,2.637943119
279,3.014792577
279.5,2.637943119
280,2.637943119
280.5,2.637943119
281,3.014792577
281.5,2.637943119
282,2.637943119
282.5,2.637943119
283,2.637943119
283.5,2.637943119
284,3.014792577
284.5,2.637943119
285,2.637943119
285.5,2.637943119
286,2.637943119
286.5,2.637943119
287,2.637943119
287.5,2.637943119
288,3.014792577
288.5,2.637943119
289,2.637943119
289.5,3.014792577
290,3.014792577
290.5,3.014792577
291,3.014792577
291.5,3.014792577
292,3.014792577
292.5,3.014792577
293,3.014792577
293.5,3.391642035
294,3.391642035
294.5,3.391642035
295,3.391642035
295.5,3.768491492
296,3.768491492
296.5,3.768491492
297,3.768491492
297.5,4.14534095
298,4.14534095
298.5,4.522190408
299,4.899039866
299.5,5.275889324
300,5.275889324
300.5,5.275889324
301,5.652738782
301.5,6.02958824
302,6.02958824
302.5,6.406437698
303,6.406437698
303.5,6.783287156
304,6.406437698
304.5,6.406437698
305,6.406437698
305.5,6.406437698
306,6.406437698
306.5,6.02958824
307,6.02958824
307.5,6.02958824
308,6.02958824
308.5,6.02958824
309,5.652738782
309.5,6.02958824
310,5.652738782
310.5,5.652738782
311,6.02958824
311.5,5.652738782
312,5.652738782
312.5,5.652738782
313,5.652738782
313.5,5.652738782
314,5.275889324
314.5,5.275889324
315,5.275889324
315.5,4.899039866
316,4.899039866
316.5,4.522190408
317,4.14534095
317.5,4.14534095
318,4.14534095
318.5,4.14534095
319,3.768491492
319.5,3.768491492
320,3.391642035
320.5,3.391642035
321,3.391642035
321.5,3.014792577
322,3.014792577
322.5,3.014792577
323,3.014792577
323.5,3.014792577
324,3.014792577
324.5,3.014792577
325,3.014792577
325.5,3.014792577
326,3.014792577
326.5,3.014792577
327,3.014792577
327.5,3.014792577
328,3.014792577
328.5,3.014792577
329,3.014792577
329.5,3.014792577
330,3.014792577
330.5,3.014792577
331,3.014792577
331.5,3.391642035
332,3.014792577
