[Header]
Application Name	LabSolutions
Version	5.117
Data File Name	C:\LabSolutions\Data\COLUMN_QC\28-09-2023_C18\Data\Tanaka_MixA.lcd
Output Date	12/7/2023
Output Time	2:49:47 PM

[File Information]
Type	Data File
Generated	9/28/2023 2:25:47 PM
Generated by	user
Modified	9/28/2023 2:59:19 PM
Modified by	user

[Sample Information]
Operator Name	user
Acquired	9/28/2023 2:29:17 PM
Sample Type	0:Unknown
Level	0
Sample Name	Tanaka_MixA
Sample ID	Tanaka_MixA
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	1
Injection Volume	10

[Original Files]
Data File	C:\LabSolutions\Data\COLUMN_QC\28-09-2023_C18\Data\Tanaka_MixA.lcd
Method File	C:\LabSolutions\Data\Main Methods\Tanaka_mixAB_28-09-2023.lcm
Batch File	C:\LabSolutions\Data\COLUMN_QC\28-09-2023_C18\Batches\C18_RefColumn_28-09-2023.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name	HPLC
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	3
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	2.689	2.485	3.872	11551485	1704605	6.777	0.000	   			0.000	3026	49.562	0.886	0.000	0.000	0	0	0.000	0.000
2	16.835	16.416	17.440	303376	16345	18.560	0.000	   			5.261	18158	8.261	1.060	40.693	0.000	0	0	0.000	0.000
3	18.464	17.952	19.371	368430	17329	21.260	0.000	   			5.866	16916	8.867	1.068	3.053	1.115	0	0	0.000	0.000

[Compound Results(PDA)]
# of IDs	0

[PDA Multi Chromatogram(Ch1)]
# of Points	      2814
Interval(msec)	640
Start Time(min)	0
End Time(min)	30.0053
Intensity Units	mAU
Intensity Multiplier	1
Type	MultiChrom
Wavelength(nm)	254
Bandwidth(nm)	4
R.Time (min)	Intensity
0.00000	0
0.01067	0
0.02133	0
0.03200	0
0.04267	-3
0.05333	-7
0.06400	-10
0.07467	-13
0.08533	-18
0.09600	-23
0.10667	-28
0.11733	-33
0.12800	-36
0.13867	-39
0.14933	-43
0.16000	-46
0.17067	-50
0.18133	-55
0.19200	-59
0.20267	-63
0.21333	-67
0.22400	-72
0.23467	-75
0.24533	-80
0.25600	-86
0.26667	-89
0.27733	-93
0.28800	-98
0.29867	-103
0.30933	-106
0.32000	-109
0.33067	-113
0.34133	-116
0.35200	-120
0.36267	-125
0.37333	-130
0.38400	-134
0.39467	-139
0.40533	-143
0.41600	-147
0.42667	-152
0.43733	-156
0.44800	-160
0.45867	-164
0.46933	-167
0.48000	-172
0.49067	-176
0.50133	-181
0.51200	-184
0.52267	-189
0.53333	-193
0.54400	-198
0.55467	-202
0.56533	-206
0.57600	-210
0.58667	-215
0.59733	-220
0.60800	-225
0.61867	-229
0.62933	-233
0.64000	-237
0.65067	-241
0.66133	-244
0.67200	-248
0.68267	-252
0.69333	-255
0.70400	-260
0.71467	-264
0.72533	-268
0.73600	-273
0.74667	-278
0.75733	-281
0.76800	-285
0.77867	-290
0.78933	-294
0.80000	-298
0.81067	-301
0.82133	-306
0.83200	-310
0.84267	-314
0.85333	-318
0.86400	-322
0.87467	-326
0.88533	-331
0.89600	-334
0.90667	-338
0.91733	-342
0.92800	-347
0.93867	-351
0.94933	-354
0.96000	-357
0.97067	-361
0.98133	-366
0.99200	-371
1.00267	-376
1.01333	-380
1.02400	-384
1.03467	-388
1.04533	-392
1.05600	-395
1.06667	-399
1.07733	-403
1.08800	-407
1.09867	-411
1.10933	-416
1.12000	-421
1.13067	-425
1.14133	-428
1.15200	-433
1.16267	-438
1.17333	-443
1.18400	-448
1.19467	-452
1.20533	-455
1.21600	-458
1.22667	-463
1.23733	-467
1.24800	-470
1.25867	-474
1.26933	-477
1.28000	-480
1.29067	-485
1.30133	-490
1.31200	-494
1.32267	-498
1.33333	-501
1.34400	-503
1.35467	-506
1.36533	-506
