Time,Signal
0.01067,0
0.02133,0
0.032,0
0.04267,-1
0.05333,-4
0.064,-5
0.07467,-5
0.08533,-5
0.096,-5
0.10667,-5
0.11733,-5
0.128,-6
0.13867,-6
0.14933,-6
0.16,-7
0.17067,-8
0.18133,-7
0.192,-6
0.20267,-6
0.21333,-6
0.224,-6
0.23467,-6
0.24533,-6
0.256,-7
0.26667,-7
0.27733,-6
0.288,-5
0.29867,-5
0.30933,-4
0.32,-4
0.33067,-4
0.34133,-5
0.352,-5
0.36267,-5
0.37333,-5
0.384,-6
0.39467,-6
0.40533,-6
0.416,-7
0.42667,-7
0.43733,-6
0.448,-6
0.45867,-6
0.46933,-6
0.48,-5
0.49067,-4
0.50133,-4
0.512,-5
0.52267,-6
0.53333,-7
0.544,-7
0.55467,-7
0.56533,-7
0.576,-7
0.58667,-6
0.59733,-7
0.608,-7
0.61867,-8
0.62933,-8
0.64,-9
0.65067,-9
0.66133,-8
0.672,-7
0.68267,-7
0.69333,-8
0.704,-8
0.71467,-8
0.72533,-9
0.736,-9
0.74667,-9
0.75733,-9
0.768,-9
0.77867,-8
0.78933,-8
0.8,-8
0.81067,-8
0.82133,-8
0.832,-8
0.84267,-7
0.85333,-7
0.864,-8
0.87467,-8
0.88533,-8
0.896,-8
0.90667,-8
0.91733,-8
0.928,-7
0.93867,-7
0.94933,-7
0.96,-8
0.97067,-8
0.98133,-8
0.992,-8
1.00267,-9
1.01333,-10
1.024,-11
1.03467,-12
1.04533,-12
1.056,-13
1.06667,-13
1.07733,-14
1.088,-13
1.09867,-13
1.10933,-13
1.12,-13
1.13067,-13
1.14133,-12
1.152,-12
1.16267,-12
1.17333,-12
1.184,-13
1.19467,-13
1.20533,-13
1.216,-12
1.22667,-12
1.23733,-12
1.248,-12
1.25867,-12
1.26933,-12
1.28,-12
1.29067,-12
1.30133,-13
1.312,-14
1.32267,-15
1.33333,-16
1.344,-16
1.35467,-16
1.36533,-15
1.376,-14
1.38667,-13
1.39733,-11
1.408,-7
1.41867,-3
1.42933,2
1.44,9
1.45067,15
1.46133,21
1.472,28
1.48267,36
1.49333,45
1.504,55
1.51467,66
1.52533,79
1.536,94
1.54667,111
1.55733,128
1.568,148
1.57867,172
1.58933,201
1.6,230
1.61067,257
1.62133,276
1.632,279
1.64267,264
1.65333,233
1.664,197
1.67467,163
1.68533,135
1.696,111
1.70667,93
1.71733,79
1.728,70
1.73867,63
1.74933,58
1.76,54
1.77067,52
1.78133,49
1.792,46
1.80267,44
1.81333,41
1.824,40
1.83467,39
1.84533,38
1.856,37
1.86667,37
1.87733,37
1.888,36
1.89867,36
1.90933,37
1.92,36
1.93067,37
1.94133,37
1.952,38
1.96267,37
1.97333,36
1.984,36
1.99467,36
2.00533,36
2.016,36
2.02667,36
2.03733,36
2.048,37
2.05867,38
2.06933,38
2.08,39
2.09067,38
2.10133,38
2.112,38
2.12267,39
2.13333,39
2.144,39
2.15467,39
2.16533,39
2.176,39
2.18667,39
2.19733,39
2.208,39
2.21867,38
2.22933,39
2.24,39
2.25067,38
2.26133,36
2.272,36
2.28267,37
2.29333,38
2.304,38
2.31467,39
2.32533,39
2.336,40
2.34667,41
2.35733,41
2.368,40
2.37867,39
2.38933,38
2.4,39
2.41067,40
2.42133,41
2.432,43
2.44267,45
2.45333,47
2.464,49
2.47467,51
2.48533,54
2.496,57
2.50667,61
2.51733,64
2.528,69
2.53867,74
2.54933,84
2.56,115
2.57067,175
2.58133,246
2.592,323
2.60267,421
2.61333,511
2.624,554
2.63467,579
2.64533,608
2.656,622
2.66667,624
2.67733,620
2.688,589
2.69867,542
2.70933,511
2.72,492
2.73067,457
2.74133,402
2.752,348
2.76267,306
2.77333,276
2.784,258
2.79467,248
2.80533,244
2.816,246
