Time,Signal
0.5,-0.80061039
1,-0.847705118
1.5,-0.706420932
2,-0.847705118
2.5,-0.777063025
3,-0.80061039
3.5,-0.824157754
4,-0.80061039
4.5,-0.847705118
5,-0.847705118
5.5,-0.988989305
6,-0.80061039
6.5,-0.847705118
7,-0.871252483
7.5,-0.847705118
8,-0.847705118
8.5,-0.894799847
9,-0.80061039
9.5,-0.80061039
10,-0.871252483
10.5,-0.918347212
11,-0.847705118
11.5,-0.80061039
12,-0.894799847
12.5,-0.894799847
13,-0.894799847
13.5,-0.777063025
14,-0.824157754
14.5,-0.918347212
15,-0.918347212
15.5,-0.894799847
16,-0.871252483
16.5,-0.894799847
17,-0.941894576
17.5,-0.824157754
18,-0.918347212
18.5,-0.894799847
19,-0.941894576
19.5,-0.894799847
20,-0.894799847
20.5,-0.941894576
21,-0.941894576
21.5,-0.918347212
22,-0.941894576
22.5,-0.918347212
23,-0.941894576
23.5,-0.871252483
24,-0.918347212
24.5,-0.894799847
25,-0.918347212
25.5,-0.894799847
26,-0.941894576
26.5,-0.941894576
27,-0.96544194
27.5,-0.871252483
28,-0.918347212
28.5,-0.941894576
29,-0.941894576
29.5,-0.918347212
30,-0.941894576
30.5,-0.941894576
31,-0.918347212
31.5,-0.941894576
32,-0.80061039
32.5,-0.871252483
33,-0.894799847
33.5,-0.941894576
34,-0.96544194
34.5,-0.941894576
35,-0.941894576
35.5,-0.941894576
36,-0.894799847
36.5,-0.918347212
37,-0.941894576
37.5,-0.918347212
38,-0.918347212
38.5,-0.941894576
39,-0.918347212
39.5,-0.918347212
40,-0.941894576
40.5,-0.894799847
41,-0.871252483
41.5,-0.894799847
42,-0.847705118
42.5,-0.80061039
43,-0.894799847
43.5,-0.894799847
44,-0.80061039
44.5,-0.706420932
45,-0.706420932
45.5,-0.659326203
46,-0.659326203
46.5,-0.659326203
47,-0.729968296
47.5,-0.612231474
48,-0.58868411
48.5,-0.706420932
49,-0.682873568
49.5,-0.682873568
50,-0.659326203
50.5,-0.635778839
51,-0.706420932
51.5,-0.753515661
52,-0.824157754
52.5,-0.80061039
53,-0.706420932
53.5,-0.847705118
54,-0.824157754
54.5,-0.941894576
55,-0.894799847
55.5,-0.918347212
56,-0.894799847
56.5,-0.894799847
57,-0.894799847
57.5,-0.894799847
58,-0.941894576
58.5,-0.941894576
59,-0.988989305
59.5,-0.918347212
60,-0.918347212
60.5,-0.894799847
61,-0.941894576
61.5,-0.918347212
62,-0.96544194
62.5,-0.941894576
63,-0.918347212
63.5,-1.036084034
64,-1.036084034
64.5,-0.941894576
65,-0.941894576
65.5,-0.941894576
66,-1.012536669
66.5,-0.941894576
67,-1.036084034
67.5,-0.941894576
68,-0.941894576
68.5,-0.96544194
69,-0.941894576
69.5,-0.941894576
70,-0.941894576
70.5,-0.941894576
71,-1.059631398
71.5,-0.941894576
72,-0.941894576
72.5,-0.941894576
73,-0.941894576
73.5,-0.941894576
74,-0.941894576
74.5,-0.941894576
75,-0.941894576
75.5,-0.941894576
76,-0.941894576
76.5,-0.941894576
77,-0.96544194
77.5,-0.941894576
78,-0.941894576
78.5,-0.941894576
79,-0.941894576
79.5,-0.96544194
80,-1.012536669
80.5,-0.96544194
81,-0.941894576
81.5,-0.941894576
82,-0.96544194
82.5,-0.96544194
83,-0.941894576
83.5,-0.941894576
84,-0.941894576
84.5,-0.941894576
85,-0.96544194
85.5,-0.941894576
86,-0.941894576
86.5,-0.96544194
87,-0.941894576
87.5,-0.941894576
88,-0.96544194
88.5,-0.96544194
89,-1.012536669
89.5,-0.988989305
90,-0.941894576
90.5,-0.988989305
91,-0.941894576
91.5,-0.988989305
92,-0.941894576
92.5,-1.036084034
93,-0.96544194
93.5,-0.96544194
94,-0.941894576
94.5,-0.941894576
95,-0.988989305
95.5,-0.988989305
96,-1.012536669
96.5,-0.988989305
97,-0.988989305
97.5,-1.036084034
98,-0.941894576
98.5,-1.012536669
99,-1.059631398
99.5,-1.036084034
100,-0.96544194
100.5,-0.988989305
101,-1.083178762
101.5,-1.036084034
102,-1.059631398
102.5,-1.036084034
103,-1.012536669
103.5,-1.012536669
104,-1.036084034
104.5,-1.036084034
105,-1.036084034
105.5,-1.436389228
106,-1.130273491
106.5,-1.059631398
107,-1.130273491
107.5,-1.059631398
108,-1.106726127
108.5,-1.059631398
109,-1.083178762
109.5,-1.036084034
110,-1.036084034
110.5,-1.200915584
111,-0.988989305
111.5,-1.083178762
112,-0.96544194
112.5,-1.036084034
113,-0.988989305
113.5,-0.988989305
114,-0.988989305
114.5,-1.130273491
115,-1.059631398
115.5,-1.059631398
116,-1.059631398
116.5,-1.17736822
117,-1.106726127
117.5,-1.059631398
118,-1.083178762
118.5,-1.059631398
119,-1.059631398
119.5,-1.036084034
120,-1.106726127
120.5,-1.083178762
121,-1.083178762
121.5,-1.106726127
122,-1.083178762
122.5,-1.106726127
123,-1.130273491
123.5,-1.036084034
124,-1.059631398
124.5,-1.083178762
125,-1.153820856
125.5,-1.17736822
126,-1.200915584
126.5,-1.200915584
127,-1.224462949
127.5,-1.200915584
128,-1.153820856
128.5,-1.295105042
129,-1.106726127
129.5,-1.271557678
130,-1.248010313
130.5,-1.106726127
131,-1.17736822
131.5,-1.295105042
132,-1.200915584
132.5,-1.200915584
